plz,bundesland,ort
6618,Sachsen-Anhalt,Molauer Land
49696,Niedersachsen,Molbergen
24113,Schleswig-Holstein,Molfsee
17237,Mecklenburg-Vorpommern,Möllenbeck
19300,Mecklenburg-Vorpommern,Möllenbeck
17219,Mecklenburg-Vorpommern,Möllenhagen
17091,Mecklenburg-Vorpommern,Mölln
23879,Schleswig-Holstein,Mölln
56414,Rheinland-Pfalz,Molsberg
99869,Thüringen,Molschleben
17449,Mecklenburg-Vorpommern,Mölschow
67591,Rheinland-Pfalz,Mölsheim
17194,Mecklenburg-Vorpommern,Moltzow
57520,Rheinland-Pfalz,Molzhain
63776,Bayern,Mömbris
63853,Bayern,Mömlingen
55278,Rheinland-Pfalz,Mommenheim
63933,Bayern,Mönchberg
41061,Nordrhein-Westfalen,Mönchengladbach
41063,Nordrhein-Westfalen,Mönchengladbach
41065,Nordrhein-Westfalen,Mönchengladbach
41066,Nordrhein-Westfalen,Mönchengladbach
41068,Nordrhein-Westfalen,Mönchengladbach
41069,Nordrhein-Westfalen,Mönchengladbach
41169,Nordrhein-Westfalen,Mönchengladbach
41179,Nordrhein-Westfalen,Mönchengladbach
41189,Nordrhein-Westfalen,Mönchengladbach
41199,Nordrhein-Westfalen,Mönchengladbach
41236,Nordrhein-Westfalen,Mönchengladbach
41238,Nordrhein-Westfalen,Mönchengladbach
41239,Nordrhein-Westfalen,Mönchengladbach
18586,Mecklenburg-Vorpommern,Mönchgut
18182,Mecklenburg-Vorpommern,Mönchhagen
6556,Thüringen,Mönchpfiffel-Nikolausrieth
86751,Bayern,Mönchsdeggingen
91614,Bayern,Mönchsroth
78087,Baden-Württemberg,Mönchweiler
86653,Bayern,Monheim
40789,Nordrhein-Westfalen,Monheim am Rhein
24248,Schleswig-Holstein,Mönkeberg
17375,Mecklenburg-Vorpommern,Mönkebude
23619,Schleswig-Holstein,Mönkhagen
24576,Schleswig-Holstein,Mönkloh
56729,Rheinland-Pfalz,Monreal
52156,Nordrhein-Westfalen,Monschau
67590,Rheinland-Pfalz,Monsheim
71297,Baden-Württemberg,Mönsheim
4617,Thüringen,Monstab
56410,Rheinland-Pfalz,Montabaur
56754,Rheinland-Pfalz,Möntenich
54472,Rheinland-Pfalz,Monzelfeld
55234,Rheinland-Pfalz,Monzernheim
55569,Rheinland-Pfalz,Monzingen
25597,Schleswig-Holstein,Moordiek
82272,Bayern,Moorenweis
36433,Thüringen,Moorgrund
25554,Schleswig-Holstein,Moorhusen
26802,Niedersachsen,Moormerland
25436,Schleswig-Holstein,Moorrege
26427,Niedersachsen,Moorweg
94554,Bayern,Moos
78345,Baden-Württemberg,Moos
85665,Bayern,Moosach
92709,Bayern,Moosbach
85368,Bayern,Moosburg
88422,Baden-Württemberg,Moosburg
85452,Bayern,Moosinning
84164,Bayern,Moosthenning
19230,Mecklenburg-Vorpommern,Moraas
54497,Rheinland-Pfalz,Morbach
24594,Schleswig-Holstein,Mörel
64546,Hessen,Mörfelden-Walldorf
37186,Niedersachsen,Moringen
1468,Sachsen,Moritzburg
56865,Rheinland-Pfalz,Moritzheim
57583,Rheinland-Pfalz,Mörlen
69509,Hessen,Mörlenbach
91804,Bayern,Mörnsheim
51597,Nordrhein-Westfalen,Morsbach
57629,Rheinland-Pfalz,Mörsbach
55494,Rheinland-Pfalz,Mörschbach
54317,Rheinland-Pfalz,Morscheid
34326,Hessen,Morschen
67294,Rheinland-Pfalz,Morschheim
55758,Rheinland-Pfalz,Mörschied
56290,Rheinland-Pfalz,Mörsdorf
7646,Thüringen,Mörsdorf
67808,Rheinland-Pfalz,Mörsfeld
56283,Rheinland-Pfalz,Morshausen
67591,Rheinland-Pfalz,Mörstadt
74821,Baden-Württemberg,Mosbach
56767,Rheinland-Pfalz,Mosbruch
56424,Rheinland-Pfalz,Moschheim
56254,Rheinland-Pfalz,Moselkern
39175,Sachsen-Anhalt,Möser
39291,Sachsen-Anhalt,Möser
64756,Hessen,Mossautal
7907,Thüringen,Moßbach
72116,Baden-Württemberg,Mössingen
97786,Bayern,Motten
86753,Bayern,Möttingen
93099,Bayern,Mötzing
71159,Baden-Württemberg,Mötzingen
7381,Thüringen,Moxa
23795,Schleswig-Holstein,Mözen
53804,Nordrhein-Westfalen,Much
24238,Schleswig-Holstein,Mucheln
6249,Sachsen-Anhalt,Mücheln (Geiseltal)
6255,Sachsen-Anhalt,Mücheln (Geiseltal)
6268,Sachsen-Anhalt,Mücheln (Geiseltal)
6632,Sachsen-Anhalt,Mücheln (Geiseltal)
19300,Mecklenburg-Vorpommern,Muchow
2906,Sachsen,Mücka - Mikow
35325,Hessen,Mücke
54558,Rheinland-Pfalz,Mückeln
69427,Baden-Württemberg,Mudau
38539,Niedersachsen,Müden (Aller)
57614,Rheinland-Pfalz,Mudenbach
56254,Rheinland-Pfalz,Müden (Mosel)
57555,Rheinland-Pfalz,Mudersbach
65623,Rheinland-Pfalz,Mudershausen
4769,Sachsen,Mügeln
76461,Baden-Württemberg,Muggensturm
1809,Sachsen,Müglitztal
24582,Schleswig-Holstein,Mühbrook
75417,Baden-Württemberg,Mühlacker
9241,Sachsen,Mühlau
4895,Brandenburg,Mühlberg/Elbe
4931,Brandenburg,Mühlberg/Elbe
84453,Bayern,Mühldorf a. Inn
77796,Baden-Württemberg,Mühlenbach
25548,Schleswig-Holstein,Mühlenbarbek
16515,Brandenburg,Mühlenbecker Land
16552,Brandenburg,Mühlenbecker Land
16567,Brandenburg,Mühlenbecker Land
14662,Brandenburg,Mühlenberge
19205,Mecklenburg-Vorpommern,Mühlen Eichsen
14822,Brandenburg,Mühlenfließ
14823,Brandenburg,Mühlenfließ
21493,Schleswig-Holstein,Mühlenrade
8626,Sachsen,Mühlental
69242,Baden-Württemberg,Mühlhausen
96172,Bayern,Mühlhausen
92360,Bayern,Mühlhausen
99974,Thüringen,Mühlhausen
99998,Thüringen,Mühlhausen
78259,Baden-Württemberg,Mühlhausen-Ehingen
73347,Baden-Württemberg,Mühlhausen im Täle
63165,Hessen,Mühlheim am Main
78570,Baden-Württemberg,Mühlheim an der Donau
78357,Baden-Württemberg,Mühlingen
56291,Rheinland-Pfalz,Mühlpfad
18276,Mecklenburg-Vorpommern,Mühl Rosin
64367,Hessen,Mühltal
91735,Bayern,Muhr am See
54636,Rheinland-Pfalz,Mülbach
9619,Sachsen,Mulda/Sachsen
8262,Sachsen,Muldenhammer
6774,Sachsen-Anhalt,Muldestausee
74673,Baden-Württemberg,Mulfingen
54486,Rheinland-Pfalz,Mülheim an der Mosel
45468,Nordrhein-Westfalen,Mülheim an der Ruhr
45470,Nordrhein-Westfalen,Mülheim an der Ruhr
45472,Nordrhein-Westfalen,Mülheim an der Ruhr
45473,Nordrhein-Westfalen,Mülheim an der Ruhr
45475,Nordrhein-Westfalen,Mülheim an der Ruhr
45476,Nordrhein-Westfalen,Mülheim an der Ruhr
45478,Nordrhein-Westfalen,Mülheim an der Ruhr
45479,Nordrhein-Westfalen,Mülheim an der Ruhr
45481,Nordrhein-Westfalen,Mülheim an der Ruhr
56218,Rheinland-Pfalz,Mülheim-Kärlich
53520,Rheinland-Pfalz,Müllenbach
56761,Rheinland-Pfalz,Müllenbach
79379,Baden-Württemberg,Müllheim
15299,Brandenburg,Müllrose
8132,Sachsen,Mülsen
95213,Bayern,Münchberg
15374,Brandenburg,Müncheberg
15748,Brandenburg,Münchehofe
80331,Bayern,München
80333,Bayern,München
80335,Bayern,München
80336,Bayern,München
80337,Bayern,München
80339,Bayern,München
80469,Bayern,München
80538,Bayern,München
80539,Bayern,München
80634,Bayern,München
80636,Bayern,München
80637,Bayern,München
80638,Bayern,München
80639,Bayern,München
80686,Bayern,München
80687,Bayern,München
80689,Bayern,München
80796,Bayern,München
80797,Bayern,München
80798,Bayern,München
80799,Bayern,München
80801,Bayern,München
80802,Bayern,München
80803,Bayern,München
80804,Bayern,München
80805,Bayern,München
80807,Bayern,München
80809,Bayern,München
80933,Bayern,München
80935,Bayern,München
80937,Bayern,München
80939,Bayern,München
80992,Bayern,München
80993,Bayern,München
80995,Bayern,München
80997,Bayern,München
80999,Bayern,München
81241,Bayern,München
81243,Bayern,München
81245,Bayern,München
81247,Bayern,München
81249,Bayern,München
81369,Bayern,München
81371,Bayern,München
81373,Bayern,München
81375,Bayern,München
81377,Bayern,München
81379,Bayern,München
81475,Bayern,München
81476,Bayern,München
81477,Bayern,München
81479,Bayern,München
81539,Bayern,München
81541,Bayern,München
81543,Bayern,München
81545,Bayern,München
81547,Bayern,München
81549,Bayern,München
81667,Bayern,München
81669,Bayern,München
81671,Bayern,München
81673,Bayern,München
81675,Bayern,München
81677,Bayern,München
81679,Bayern,München
81735,Bayern,München
81737,Bayern,München
81739,Bayern,München
81825,Bayern,München
81827,Bayern,München
81829,Bayern,München
81925,Bayern,München
81927,Bayern,München
81929,Bayern,München
85540,Bayern,München
7589,Thüringen,Münchenbernsdorf
35117,Hessen,Münchhausen
85126,Bayern,Münchsmünster
91481,Bayern,Münchsteinach
55595,Rheinland-Pfalz,Münchwald
76857,Rheinland-Pfalz,Münchweiler am Klingbach
67728,Rheinland-Pfalz,Münchweiler an der Alsenz
66955,Rheinland-Pfalz,Münchweiler an der Rodalb
66981,Rheinland-Pfalz,Münchweiler an der Rodalb
74395,Baden-Württemberg,Mundelsheim
89597,Baden-Württemberg,Munderkingen
56271,Rheinland-Pfalz,Mündersbach
56729,Rheinland-Pfalz,Münk
24960,Schleswig-Holstein,Munkbrarup
97702,Bayern,Münnerstadt
86754,Bayern,Munningen
82541,Bayern,Münsing
72525,Baden-Württemberg,Münsingen
29633,Niedersachsen,Munster
48143,Nordrhein-Westfalen,Münster
48145,Nordrhein-Westfalen,Münster
48147,Nordrhein-Westfalen,Münster
48149,Nordrhein-Westfalen,Münster
48151,Nordrhein-Westfalen,Münster
48153,Nordrhein-Westfalen,Münster
48155,Nordrhein-Westfalen,Münster
48157,Nordrhein-Westfalen,Münster
48159,Nordrhein-Westfalen,Münster
48161,Nordrhein-Westfalen,Münster
48163,Nordrhein-Westfalen,Münster
48165,Nordrhein-Westfalen,Münster
48167,Nordrhein-Westfalen,Münster
86692,Bayern,Münster
67822,Rheinland-Pfalz,Münsterappel
25587,Schleswig-Holstein,Münsterdorf
86505,Bayern,Münsterhausen
64839,Hessen,Münster (Hessen)
56294,Rheinland-Pfalz,Münstermaifeld
55424,Rheinland-Pfalz,Münster-Sarmsheim
79244,Baden-Württemberg,Münstertal/Schwarzwald
35516,Hessen,Münzenberg
17390,Mecklenburg-Vorpommern,Murchin
79730,Baden-Württemberg,Murg
54570,Rheinland-Pfalz,Mürlenbach
82418,Bayern,Murnau am Staffelsee
71711,Baden-Württemberg,Murr
71540,Baden-Württemberg,Murrhardt
53533,Rheinland-Pfalz,Müsch
57629,Rheinland-Pfalz,Müschenbach
21516,Schleswig-Holstein,Müssen
23911,Schleswig-Holstein,Mustin
19406,Mecklenburg-Vorpommern,Mustin
54534,Rheinland-Pfalz,Musweiler
73557,Baden-Württemberg,Mutlangen
55469,Rheinland-Pfalz,Mutterschied
67112,Rheinland-Pfalz,Mutterstadt
54608,Rheinland-Pfalz,Mützenich
54673,Rheinland-Pfalz,Muxerath
92507,Bayern,Nabburg
58769,Nordrhein-Westfalen,Nachrodt-Wiblingwerde
56729,Rheinland-Pfalz,Nachtsheim
55234,Rheinland-Pfalz,Nack
55299,Rheinland-Pfalz,Nackenheim
17329,Mecklenburg-Vorpommern,Nadrensee
95697,Bayern,Nagel
72202,Baden-Württemberg,Nagold
23866,Schleswig-Holstein,Nahe
21369,Niedersachsen,Nahrendorf
95119,Bayern,Naila
66809,Saarland,Nalbach
66640,Saarland,Namborn
85395,Bayern,Nandlstadt
85405,Bayern,Nandlstadt
55469,Rheinland-Pfalz,Nannhausen
66909,Rheinland-Pfalz,Nanzdietschweiler
54673,Rheinland-Pfalz,Nasingen
56377,Rheinland-Pfalz,Nassau
85128,Bayern,Nassenfels
56355,Rheinland-Pfalz,Nastätten
29587,Niedersachsen,Natendorf
54636,Rheinland-Pfalz,Nattenheim
89564,Baden-Württemberg,Nattheim
14641,Brandenburg,Nauen
99448,Thüringen,Nauendorf
64569,Hessen,Nauheim
34311,Hessen,Naumburg
6618,Sachsen-Anhalt,Naumburg (Saale)
6628,Sachsen-Anhalt,Naumburg (Saale)
4758,Sachsen,Naundorf
4769,Sachsen,Naundorf
56753,Rheinland-Pfalz,Naunheim
4683,Sachsen,Naunhof
56237,Rheinland-Pfalz,Nauort
54340,Rheinland-Pfalz,Naurath (Eifel)
54426,Rheinland-Pfalz,Naurath (Wald)
57583,Rheinland-Pfalz,Nauroth
7616,Thüringen,Nausnitz
99826,Thüringen,Nazza
25946,Schleswig-Holstein,Nebel
1920,Sachsen,Nebelschütz - Njebjelčicy
6642,Sachsen-Anhalt,Nebra (Unstrut)
74924,Baden-Württemberg,Neckarbischofsheim
69151,Baden-Württemberg,Neckargemünd
69437,Baden-Württemberg,Neckargerach
69239,Hessen,Neckarsteinach
74172,Baden-Württemberg,Neckarsulm
72666,Baden-Württemberg,Neckartailfingen
72654,Baden-Württemberg,Neckartenzlingen
74382,Baden-Württemberg,Neckarwestheim
74865,Baden-Württemberg,Neckarzimmern
17039,Mecklenburg-Vorpommern,Neddemin
56858,Rheinland-Pfalz,Neef
89189,Baden-Württemberg,Neenstetten
21398,Niedersachsen,Neetze
17349,Mecklenburg-Vorpommern,Neetzka
17391,Mecklenburg-Vorpommern,Neetzow-Liepen
37643,Niedersachsen,Negenborn
24625,Schleswig-Holstein,Negenharrie
23795,Schleswig-Holstein,Negernbötel
23813,Schleswig-Holstein,Nehms
24326,Schleswig-Holstein,Nehmten
56820,Rheinland-Pfalz,Nehren
72147,Baden-Württemberg,Nehren
54552,Rheinland-Pfalz,Neichen
54657,Rheinland-Pfalz,Neidenbach
67468,Rheinland-Pfalz,Neidenfels
74933,Baden-Württemberg,Neidenstein
73272,Baden-Württemberg,Neidlingen
2829,Sachsen,Neißeaue
3159,Brandenburg,Neiße-Malxetal
15898,Brandenburg,Neißemünde
57638,Rheinland-Pfalz,Neitersen
89191,Baden-Württemberg,Nellingen
6268,Sachsen-Anhalt,Nemsdorf-Göhrendorf
26556,Niedersachsen,Nenndorf
14715,Brandenburg,Nennhausen
91790,Bayern,Nennslingen
36214,Hessen,Nentershausen
56412,Rheinland-Pfalz,Nentershausen
54552,Rheinland-Pfalz,Nerdlen
89129,Baden-Württemberg,Nerenstetten
73450,Baden-Württemberg,Neresheim
23843,Schleswig-Holstein,Neritz
54570,Rheinland-Pfalz,Neroth
89278,Bayern,Nersingen
67749,Rheinland-Pfalz,Nerzweiler
2699,Sachsen,Neschwitz - Njeswačidło
99192,Thüringen,Nesse-Apfelstädt
87484,Bayern,Nesselwang
99869,Thüringen,Nessetal
57250,Nordrhein-Westfalen,Netphen
24250,Schleswig-Holstein,Nettelsee
53947,Nordrhein-Westfalen,Nettersheim
41334,Nordrhein-Westfalen,Nettetal
65623,Rheinland-Pfalz,Netzbach
8491,Sachsen,Netzschkau
95698,Bayern,Neualbenreuth
61267,Hessen,Neu-Anspach
55546,Rheinland-Pfalz,Neu-Bamberg
24879,Schleswig-Holstein,Neuberend
63543,Hessen,Neuberg
83115,Bayern,Neubeuern
85579,Bayern,Neubiberg
17509,Mecklenburg-Vorpommern,Neu Boltenhagen
26909,Niedersachsen,Neubörger
17033,Mecklenburg-Vorpommern,Neubrandenburg
17034,Mecklenburg-Vorpommern,Neubrandenburg
17036,Mecklenburg-Vorpommern,Neubrandenburg
97277,Bayern,Neubrunn
98617,Thüringen,Neubrunn
18233,Mecklenburg-Vorpommern,Neubukow
75385,Baden-Württemberg,Neubulach
75387,Baden-Württemberg,Neubulach
23974,Mecklenburg-Vorpommern,Neuburg
94036,Bayern,Neuburg am Inn
94127,Bayern,Neuburg am Inn
76776,Rheinland-Pfalz,Neuburg am Rhein
86633,Bayern,Neuburg an der Donau
86476,Bayern,Neuburg an der Kammel
85467,Bayern,Neuching
29490,Niedersachsen,Neu Darchau
74861,Baden-Württemberg,Neudenau
24214,Schleswig-Holstein,Neudorf-Bornstein
95512,Bayern,Neudrossenfeld
24791,Schleswig-Holstein,Neu Duvenstedt
24794,Schleswig-Holstein,Neu Duvenstedt
37249,Hessen,Neu-Eichenberg
25361,Schleswig-Holstein,Neuenbrook
25578,Schleswig-Holstein,Neuenbrook
75305,Baden-Württemberg,Neuenbürg
79395,Baden-Württemberg,Neuenburg am Rhein
25436,Schleswig-Holstein,Neuendeich
91564,Bayern,Neuendettelsau
97788,Bayern,Neuendorf
54597,Rheinland-Pfalz,Neuendorf
25335,Schleswig-Holstein,Neuendorf bei Elmshorn
25554,Schleswig-Holstein,Neuendorf-Sachsenbande
7778,Thüringen,Neuengönna
23818,Schleswig-Holstein,Neuengörs
15366,Brandenburg,Neuenhagen bei Berlin
49828,Niedersachsen,Neuenhaus
48485,Nordrhein-Westfalen,Neuenkirchen
25792,Schleswig-Holstein,Neuenkirchen
21640,Niedersachsen,Neuenkirchen
17498,Mecklenburg-Vorpommern,Neuenkirchen
17039,Mecklenburg-Vorpommern,Neuenkirchen
17392,Mecklenburg-Vorpommern,Neuenkirchen
18569,Mecklenburg-Vorpommern,Neuenkirchen
27251,Niedersachsen,Neuenkirchen
21763,Niedersachsen,Neuenkirchen
29643,Niedersachsen,Neuenkirchen
49586,Niedersachsen,Neuenkirchen
49434,Niedersachsen,Neuenkirchen-Vörden
95339,Bayern,Neuenmarkt
58809,Nordrhein-Westfalen,Neuenrade
8541,Sachsen,Neuensalz
74196,Baden-Württemberg,Neuenstadt am Kocher
36286,Hessen,Neuenstein
74632,Baden-Württemberg,Neuenstein
34599,Hessen,Neuental
54673,Rheinland-Pfalz,Neuerburg
55471,Rheinland-Pfalz,Neuerkirch
85375,Bayern,Neufahrn bei Freising
85376,Bayern,Neufahrn bei Freising
84088,Bayern,Neufahrn in Niederbayern
25724,Schleswig-Holstein,Neufeld
25724,Schleswig-Holstein,Neufelderkoog
72639,Baden-Württemberg,Neuffen
72419,Baden-Württemberg,Neufra
84181,Bayern,Neufraunhofen
19258,Mecklenburg-Vorpommern,Neu Gülze
15320,Brandenburg,Neuhardenberg
26427,Niedersachsen,Neuharlingersiel
21785,Niedersachsen,Neuhaus
91284,Bayern,Neuhaus a.d.Pegnitz
94152,Bayern,Neuhaus am Inn
98724,Thüringen,Neuhaus am Rennweg
56335,Rheinland-Pfalz,Neuhäusel
75242,Baden-Württemberg,Neuhausen
73765,Baden-Württemberg,Neuhausen auf den Fildern
9544,Sachsen,Neuhausen/Erzgebirge
78579,Baden-Württemberg,Neuhausen ob Eck
3058,Brandenburg,Neuhausen/Spree
54597,Rheinland-Pfalz,Neuheilenbach
67680,Rheinland-Pfalz,Neuhemsbach
36119,Hessen,Neuhof
90616,Bayern,Neuhof a.d.Zenn
67141,Rheinland-Pfalz,Neuhofen
97843,Bayern,Neuhütten
54422,Rheinland-Pfalz,Neuhütten
63263,Hessen,Neu-Isenburg
17154,Mecklenburg-Vorpommern,Neukalen
19294,Mecklenburg-Vorpommern,Neu Kaliß
26835,Niedersachsen,Neukamperfehn
4575,Sachsen,Neukieritzsch
1936,Sachsen,Neukirch
88099,Baden-Württemberg,Neukirch
23779,Schleswig-Holstein,Neukirchen
34626,Hessen,Neukirchen
94362,Bayern,Neukirchen
25927,Schleswig-Holstein,Neukirchen
92445,Bayern,Neukirchen-Balbini
93453,Bayern,Neukirchen beim Heiligen Blut
92259,Bayern,Neukirchen bei Sulzbach-Rosenberg
9221,Sachsen,Neukirchen/Erzgebirge
8459,Sachsen,Neukirchen/Pleiße
47506,Nordrhein-Westfalen,Neukirchen-Vluyn
94154,Bayern,Neukirchen vorm Wald
1904,Sachsen,Neukirch/Lausitz
23992,Mecklenburg-Vorpommern,Neukloster
17398,Mecklenburg-Vorpommern,Neu Kosenow
26909,Niedersachsen,Neulehe
67271,Rheinland-Pfalz,Neuleiningen
73491,Baden-Württemberg,Neuler
16259,Brandenburg,Neulewin
75245,Baden-Württemberg,Neulingen
68809,Baden-Württemberg,Neulußheim
54347,Rheinland-Pfalz,Neumagen-Dhron
8496,Sachsen,Neumark
99439,Thüringen,Neumark
92318,Bayern,Neumarkt in der Oberpfalz
92348,Bayern,Neumarkt in der Oberpfalz
84494,Bayern,Neumarkt-Sankt Veit
24534,Schleswig-Holstein,Neumünster
24536,Schleswig-Holstein,Neumünster
24537,Schleswig-Holstein,Neumünster
24539,Schleswig-Holstein,Neumünster
92431,Bayern,Neunburg vorm Wald
7924,Thüringen,Neundorf
57520,Rheinland-Pfalz,Neunkhausen
57290,Nordrhein-Westfalen,Neunkirchen
63930,Bayern,Neunkirchen
74867,Baden-Württemberg,Neunkirchen
56479,Rheinland-Pfalz,Neunkirchen
66538,Saarland,Neunkirchen
66539,Saarland,Neunkirchen
66540,Saarland,Neunkirchen
54426,Rheinland-Pfalz,Neunkirchen
91077,Bayern,Neunkirchen a.Brand
66887,Rheinland-Pfalz,Neunkirchen am Potzberg
91233,Bayern,Neunkirchen a. Sand
53819,Nordrhein-Westfalen,Neunkirchen-Seelscheid
84524,Bayern,Neuötting
3103,Brandenburg,Neupetershain
19399,Mecklenburg-Vorpommern,Neu Poserin
76777,Rheinland-Pfalz,Neupotz
94089,Bayern,Neureichenau
82061,Bayern,Neuried
82131,Bayern,Neuried
77743,Baden-Württemberg,Neuried
16816,Brandenburg,Neuruppin
16818,Brandenburg,Neuruppin
16827,Brandenburg,Neuruppin
16833,Brandenburg,Neuruppin
16835,Brandenburg,Neuruppin
2742,Sachsen,Neusalza-Spremberg
86356,Bayern,Neusäß
94556,Bayern,Neuschönau
26487,Niedersachsen,Neuschoo
3103,Brandenburg,Neu-Seeland
91616,Bayern,Neusitz
95700,Bayern,Neusorg
41460,Nordrhein-Westfalen,Neuss
41462,Nordrhein-Westfalen,Neuss
41464,Nordrhein-Westfalen,Neuss
41466,Nordrhein-Westfalen,Neuss
41468,Nordrhein-Westfalen,Neuss
41469,Nordrhein-Westfalen,Neuss
41470,Nordrhein-Westfalen,Neuss
41472,Nordrhein-Westfalen,Neuss
35279,Hessen,Neustadt
97845,Bayern,Neustadt a.Main
95514,Bayern,Neustadt am Kulm
31535,Niedersachsen,Neustadt am Rübenberge
91413,Bayern,Neustadt an der Aisch
93333,Bayern,Neustadt an der Donau
7806,Thüringen,Neustadt an der Orla
92660,Bayern,Neustadt an der Waldnaab
67433,Rheinland-Pfalz,Neustadt an der Weinstraße
67434,Rheinland-Pfalz,Neustadt an der Weinstraße
67435,Rheinland-Pfalz,Neustadt an der Weinstraße
96465,Bayern,Neustadt bei Coburg
16845,Brandenburg,Neustadt (Dosse)
19306,Mecklenburg-Vorpommern,Neustadt-Glewe
23730,Schleswig-Holstein,Neustadt in Holstein
1844,Sachsen,Neustadt in Sachsen
8223,Sachsen,Neustadt/Vogtland
56479,Rheinland-Pfalz,Neustadt/ Westerwald
53577,Rheinland-Pfalz,Neustadt (Wied)
72149,Baden-Württemberg,Neustetten
17235,Mecklenburg-Vorpommern,Neustrelitz
93073,Bayern,Neutraubling
15320,Brandenburg,Neutrebbin
89231,Bayern,Neu-Ulm
89233,Bayern,Neu-Ulm
75389,Baden-Württemberg,Neuweiler
56564,Rheinland-Pfalz,Neuwied
56566,Rheinland-Pfalz,Neuwied
56567,Rheinland-Pfalz,Neuwied
24161,Schleswig-Holstein,Neuwittenbek
24214,Schleswig-Holstein,Neuwittenbek
21629,Niedersachsen,Neu Wulmstorf
15913,Brandenburg,Neu Zauche
15898,Brandenburg,Neuzelle
17039,Mecklenburg-Vorpommern,Neverin
23816,Schleswig-Holstein,Neversdorf
54309,Rheinland-Pfalz,Newel
56283,Rheinland-Pfalz,Ney
56645,Rheinland-Pfalz,Nickenich
63667,Hessen,Nidda
61194,Hessen,Niddatal
61130,Hessen,Nidderau
52385,Nordrhein-Westfalen,Nideggen
25938,Schleswig-Holstein,Nieblum
25899,Schleswig-Holstein,Niebüll
24395,Schleswig-Holstein,Nieby
17309,Mecklenburg-Vorpommern,Nieden
34305,Hessen,Niedenstein
56414,Rheinland-Pfalz,Niederahr
84100,Bayern,Niederaichbach
66887,Rheinland-Pfalz,Niederalben
94557,Bayern,Niederalteich
1689,Sachsen,Niederau
36272,Hessen,Niederaula
56357,Rheinland-Pfalz,Niederbachheim
84494,Bayern,Niederbergkirchen
99718,Thüringen,Niederbösa
56589,Rheinland-Pfalz,Niederbreitbach
55767,Rheinland-Pfalz,Niederbrombach
55432,Rheinland-Pfalz,Niederburg
9366,Sachsen,Niederdorf
61138,Hessen,Niederdorfelden
57520,Rheinland-Pfalz,Niederdreisbach
56651,Rheinland-Pfalz,Niederdürenbach
39326,Sachsen-Anhalt,Niedere Börde
39345,Sachsen-Anhalt,Niedere Börde
56412,Rheinland-Pfalz,Niederelbert
56412,Rheinland-Pfalz,Niedererbach
14913,Brandenburg,Niederer Fläming
78078,Baden-Württemberg,Niedereschach
56332,Rheinland-Pfalz,Niederfell
16248,Brandenburg,Niederfinow
57572,Rheinland-Pfalz,Niederfischbach
9243,Sachsen,Niederfrohna
96489,Bayern,Niederfüllbach
99759,Thüringen,Niedergebra
54675,Rheinland-Pfalz,Niedergeckler
14913,Brandenburg,Niedergörsdorf
55767,Rheinland-Pfalz,Niederhambach
55585,Rheinland-Pfalz,Niederhausen
67822,Rheinland-Pfalz,Niederhausen an der Appel
55413,Rheinland-Pfalz,Niederheimbach
55437,Rheinland-Pfalz,Nieder-Hilbersheim
56316,Rheinland-Pfalz,Niederhofen
76889,Rheinland-Pfalz,Niederhorbach
55758,Rheinland-Pfalz,Niederhosenbach
57589,Rheinland-Pfalz,Niederirsen
53859,Nordrhein-Westfalen,Niederkassel
67700,Rheinland-Pfalz,Niederkirchen
67150,Rheinland-Pfalz,Niederkirchen bei Deidesheim
55481,Rheinland-Pfalz,Nieder Kostenz
41372,Nordrhein-Westfalen,Niederkrüchten
55469,Rheinland-Pfalz,Niederkumbd
49779,Niedersachsen,Niederlangen
54614,Rheinland-Pfalz,Niederlauch
97618,Bayern,Niederlauer
66879,Rheinland-Pfalz,Niedermohr
67822,Rheinland-Pfalz,Niedermoschel
92545,Bayern,Niedermurach
63843,Bayern,Niedernberg
65629,Rheinland-Pfalz,Niederneisen
74676,Baden-Württemberg,Niedernhall
65527,Hessen,Niedernhausen
31712,Niedersachsen,Niedernwöhren
54533,Rheinland-Pfalz,Niederöfflingen
55268,Rheinland-Pfalz,Nieder-Olm
37355,Thüringen,Niederorschel
76889,Rheinland-Pfalz,Niederotterbach
54649,Rheinland-Pfalz,Niederpierscheid
54675,Rheinland-Pfalz,Niederraden
87767,Bayern,Niederrieden
56479,Rheinland-Pfalz,Niederroßbach
56244,Rheinland-Pfalz,Niedersayn
54533,Rheinland-Pfalz,Niederscheidweiler
76891,Rheinland-Pfalz,Niederschlettenbach
86694,Bayern,Niederschönenfeld
55487,Rheinland-Pfalz,Niedersohren
54570,Rheinland-Pfalz,Niederstadtfeld
66879,Rheinland-Pfalz,Niederstaufenbach
54634,Rheinland-Pfalz,Niederstedem
56593,Rheinland-Pfalz,Niedersteinebach
97996,Baden-Württemberg,Niederstetten
89168,Baden-Württemberg,Niederstotzingen
56291,Rheinland-Pfalz,Niedert
84494,Bayern,Niedertaufkirchen
56368,Rheinland-Pfalz,Niedertiefenbach
99518,Thüringen,Niedertrebra
84183,Bayern,Niederviehbach
56357,Rheinland-Pfalz,Niederwallmenach
57614,Rheinland-Pfalz,Niederwambach
54636,Rheinland-Pfalz,Niederweiler
55491,Rheinland-Pfalz,Niederweiler
54298,Rheinland-Pfalz,Niederweis
54668,Rheinland-Pfalz,Niederweis
97464,Bayern,Niederwerrn
